SUP_FAM	CHR	START	END	FAM	COL6	COL7
X-element	X	13020711	13021951	LINE/I-Jockey	75584	16584
roo	X	13096396	13105475	LTR/Pao	-1	366520
H	X	13471995	13472254	DNA/hAT-hobo	366520	24071
ambiguous	X	13496325	13496973	DNA/P	24071	29867
roo	X	13526840	13536039	LTR/Pao	-1	18690
Quasimodo	X	13554729	13562112	LTR/Gypsy	18690	27280
roo	X	13589392	13596579	LTR/Pao	-6	133428
Transpac	X	13730007	13735256	LTR/Gypsy	1	11323
Quasimodo	X	13746579	13753962	LTR/Gypsy	11323	29268
Transpac	X	13783230	13788477	LTR/Gypsy	1	106770
297	X	13895247	13901418	LTR/Gypsy	1	308397
flea	X	14209815	14213651	LTR/Gypsy	1	91313
roo	X	14304964	14313632	LTR/Pao	-1	120258
jockey	X	14433890	14434183	LINE/I-Jockey	120258	299817
roo	X	14734000	14738864	LTR/Pao	-27	31264
pogo	X	14770128	14770317	DNA/TcMar-Pogo	10	92107
roo	X	14862424	14879678	LTR/Pao	1	167477
pogo	X	15047155	15047343	DNA/TcMar-Pogo	7	130253
BS	X	15177596	15178252	LINE/I-Jockey	130253	27338
jockey	X	15205590	15207189	LINE/I-Jockey	27338	31577
Juan	X	15238766	15238955	LINE/I-Jockey	31577	73847
hobo	X	15312802	15315818	DNA/hAT-hobo	73847	21533
roo	X	15337351	15345891	LTR/Pao	-2	315018
roo	X	15660909	15670010	LTR/Pao	-1	44733
I	X	15714743	15718621	LINE/I	44733	35600
jockey	X	15754221	15754297	LINE/I-Jockey	35600	4878
jockey	X	15784224	15787309	LINE/I-Jockey	16681	1801
roo	X	15789110	15798187	LTR/Pao	-1	31831
mdg3	X	15830018	15835534	LTR/Gypsy	1	7294
ambiguous	X	15842828	15843192	DNA/TcMar-Tc1	7294	2247
HB	X	15846195	15846693	DNA/TcMar-Tc1	26	16886
HB	X	15863579	15864182	DNA/TcMar-Tc1	8	28239
S	X	15892421	15892983	DNA/TcMar-Tc1	9	60147
jockey	X	15953130	15953689	LINE/I-Jockey	-4	63120
flea	X	16016809	16021827	LTR/Gypsy	1	86423
hobo	X	16108250	16111266	DNA/hAT-hobo	86423	69079
hobo	X	16180345	16183347	DNA/hAT-hobo	69079	8016
412	X	16191363	16198867	LTR/Gypsy	-15	36385
jockey	X	16235252	16235539	LINE/I-Jockey	36385	27824
Transpac	X	16263363	16268610	LTR/Gypsy	1	45606
X	X	16314216	16314545	LINE/I-Jockey	32	117585
roo	X	16432130	16440213	LTR/Pao	1	101564
Doc	X	16541777	16543304	LINE/I-Jockey	101564	122727
3S18	X	16961745	16968076	LTR/Pao	1	88708
roo	X	17056784	17065880	LTR/Pao	-1	300377
Rt1b	X	17366257	17366312	LINE/R1	300377	170983
pogo	X	17712724	17715595	DNA/TcMar-Pogo	9	8312
roo	X	17723907	17732991	LTR/Pao	-1	139591
I	X	17872582	17877959	LINE/I	139591	100764
ninja-Dsim-like	X	17978723	17978890	LTR/Pao	100764	2108
Q	X	18012104	18012143	LINE/CR1	23393	6208
BS	X	18018351	18018434	LINE/I-Jockey	6208	23533
opus	X	18117365	18120122	LTR/Gypsy	1	14342
X-element	X	18134464	18134679	LINE/I-Jockey	14342	302090
pogo	X	18436769	18436958	DNA/TcMar-Pogo	10	559468
1360	X	18996426	18997150	LINE/I-Jockey	-67	61655
hopper	X	19058805	19060248	DNA/CMC-Transib	61655	24815
jockey	X	19085063	19090091	LINE/I-Jockey	24815	100565
Helena	X	19190656	19190990	LINE/I-Jockey	100565	40570
ambiguous	X	19231560	19238942	LTR/Gypsy	200	54828
I	X	19293770	19295745	LINE/I	54828	27542
roo	X	19323287	19331362	LTR/Pao	1	102026
opus	X	19433388	19440948	LTR/Gypsy	1	4831
transib2	X	19445779	19447235	DNA/CMC-Transib	3	196467
I	X	19643702	19644299	LINE/I	196467	21719
roo	X	19666018	19675140	LTR/Pao	1	5217
Rt1b	X	19680357	19682109	LINE/R1	-19	29593
F-element	X	19711702	19714011	LINE/I-Jockey	29593	21888
jockey	X	19735899	19736185	LINE/I-Jockey	21888	257398
invader3	X	19993583	19994759	LTR/Gypsy	25	9158
hobo	X	20003917	20006933	DNA/hAT-hobo	9158	1905
mdg3	X	20008838	20014356	LTR/Gypsy	-11	60739
297	X	20075095	20078123	LTR/Gypsy	-4	182058
FB	X	20260181	20262671	DNA/TcMar-Tc1	-269	112416
FB	X	20375087	20375585	DNA/TcMar-Tc1	-30	59334
roo	X	20434919	20444126	LTR/Pao	-1	34109
gypsy12	X	20478235	20478892	LTR/Gypsy	34109	69424
G5A	X	20548316	20548967	DNA/P	-173	28216
Tc1	X	20577183	20578805	DNA/TcMar-Tc1	22	108012
gypsy12	X	20686817	20687208	LTR/Gypsy	108012	3460
I	X	20690668	20696045	LINE/I	3460	2695
roo	X	20769150	20778091	LTR/Pao	-1	19368
Rt1c	X	20797459	20801943	LINE/I-Jockey	19368	1228
Rt1c	X	20811949	20832272	LINE/I-Jockey	428	1029
Rt1c	X	20840996	20845752	LINE/I-Jockey	2140	1028
297	X	20887310	20894306	LTR/Gypsy	-566	99233
hopper	X	20993539	20994976	DNA/CMC-Transib	99233	9803
copia	X	21004779	21009923	LTR/Copia	9803	3213
diver2	X	21013136	21013371	LTR/Pao	3213	3238
3S18	X	21016609	21019633	LTR/Pao	4	8062
diver2	X	21027695	21028151	LTR/Pao	90	28728
1360	X	21056879	21057152	DNA/P	28728	4705
1360	X	21061857	21061891	DNA/P	4705	34314
Rt1c	X	21096205	21097440	LINE/I-Jockey	-21	6510
Rt1c	X	21103950	21105168	LINE/I-Jockey	355	6944
Rt1c	X	21112112	21112850	LINE/I-Jockey	6944	7002
Rt1c	X	21119852	21120597	LINE/I-Jockey	7002	7018
Rt1c	X	21127615	21128360	LINE/I-Jockey	7018	38444
ambiguous	X	21166804	21166902	LINE/I-Jockey	38444	28957
transib2	X	21195859	21195897	DNA/CMC-Transib	28957	44538
I	X	21240435	21240634	LINE/I	44538	16635
HB	X	21257269	21257447	DNA/TcMar-Tc1	16635	12132
Cr1a	X	21279977	21280122	Unknown	2232	11118
Rt1b	X	21291240	21292344	LINE/R1	-8	129092
flea	X	21421436	21422003	LTR/Gypsy	129092	106363
1360	X	21676508	21676994	LTR/Gypsy	7	9171
hopper	X	21686165	21687608	DNA/CMC-Transib	9171	18559
roo	X	21706167	21714905	LTR/Pao	0	42517
gypsy12	X	21757422	21757551	LTR/Gypsy	42517	69193
roo	X	21864298	21872582	LTR/Pao	-20	6969
roo	X	21879551	21888747	LTR/Pao	-1	NA
